sample,treatment,3-Hydroxybutyric_acid,Alanine,Asparagine,Aspartic_acid,Cysteine,Fructose,GABA,Glucose,Glutamic_acid,Glyceraldehyde,Glyceric_acid,Glycerol-3-phosphate,Fumarate,Glycine,Histidine,Homocysteine,Lactic_acid,Malic_acid,Methionine,Ornithine,Phosphoric acid,Pyruvic_acid,Sarcosine,Serine,Succinic_acid,Threonine,Urea
cpf 6,Chlorpyrifos,128459.31,55609017.3,9393088.46,76636881.05,197800.33,49228845.29,6270786.13,86737686.62,36051189.16,787875.01,6494821.70,10391071.71,271674.91,37196441.98,193456.77,29536.20,76306669.78,18025830.06,13062378.15,25521185.42,15886303.1,1385538.067,752610.00,48461031.89,738494.81,42669365.68,75338265.87
cpf 7,Chlorpyrifos,148247.27,54937632.94,873015.84,80230985.77,372203.75,32351262.85,4965191.98,65074069.74,33951219.02,644297.19,2608662.93,2611705.05,168362.53,36656987.09,62884.32,22199.42,77069652.72,7534922.86,9199081.35,28575213.01,14478267.99,877299.1254,417587.06,44889132.81,145314.04,42516647.69,61069822.58
cpf 8,Chlorpyrifos,77071.96,58512574.85,1105522.75,42388844.68,237009.79,20893179.84,5521545.24,52362924.34,21184729.48,466027.84,2863755.80,2735448.19,388173.90,27823754.48,241.78,49553.56,91724772.08,18655385.45,2880301.76,10940995.57,7887924.31,590145.4938,320355.55,28960851.61,1444235.53,22513687.38,68351111.91
cpf 9,Chlorpyrifos,66027.84,48584691.85,452202.15,55721652.78,396690.68,22146571.94,3062226.34,62880819.47,19136905.06,687902.66,2061908.10,1744762.15,292447.39,27538489.07,1073.71,34912.15,78816680.45,7824781.29,5278651.94,10875774.14,13169433.46,704033.9476,186440.29,31472580.32,152194.95,28992267.67,157154677.36
d 1,24D,283443.78,78410756.33,9826837.98,28392547.89,431212.52,49548827.91,8049603.84,81351228.67,50604378.69,1497393.34,8668638.08,24514933.02,1010806.62,40505879.84,463079.51,80238.54,153256191.50,27720545.08,18019806.29,35671013.12,18655867.85,2992465.511,765041.92,57656731.17,851486.12,38617649.17,136903802.09
d 10,24D,395056.87,78899788.6,392957.50,57122928.19,617447.76,72530845.14,15328319.78,95449094.02,75254263.04,1889074.91,5605094.21,8192687.88,565787.91,62301119.84,346356.89,26594.32,139246874.71,23867459.90,13753801.16,43633349.66,9887924.31,2759420.967,730876.65,79750262.71,754194.66,75878997.63,68268087.03
d 2,24D,175670.18,65837554.22,2172603.02,44636576.74,319299.66,40398024.38,3653325.41,66224582.93,31354483.77,1146402.43,10128269.54,18936147.42,263663.62,31112710.3,12532.13,21976.83,91706458.13,22387449.98,6749899.17,18558880.80,17713629.25,1899466.571,436184.17,32022323.66,3132504.22,26599911.05,134925229.62
d 3,24D,222213.24,79219421.19,7368815.97,63124617.23,667701.89,41956432.82,4173809.75,68308259.34,32889712.84,1462266.66,7152950.22,26675259.85,560871.64,35061324.74,90036.51,62071.65,125045177.46,23783927.08,10332880.88,28185872.50,11321617.6,2027870.429,183993.11,44884673.13,3601601.80,35805063.18,163477935.73
d 4,24D,196108.27,81410893.53,7628054.98,65931304.23,570341.03,41498640.99,10146448.25,63446839.47,41575215.65,1199442.76,6577978.32,28198835.71,1060133.21,35881439.04,153108.79,71011.26,140736985.68,27537277.63,7950536.03,23327437.09,18941006.86,1449980.252,751564.40,48573649.18,1150719.69,42993098.57,196275902.77
d 4,24D,36426.96,17267500.09,207641.44,26896001.62,230802.24,14877960.69,2323721.70,51384328.8,9146636.628,463808.15,1396662.00,331724.76,109949.54,14040024.93,305.37,9464.27,53601252.54,2950716.17,2716982.05,4354932.67,8638654.179,306877.9243,77473.26,15933390.50,125049.16,13416893.04,40360534.41
d 5,24D,188682.65,57036286.48,4601171.32,51607904.48,241321.14,45913710.39,7809574.78,76140782.3,33289902.19,850362.61,8810709.14,8479142.75,934875.29,40228269.51,22353.02,106150.81,145128501.93,25301080.91,4443028.54,17250065.32,16886149.14,1328685.185,350599.60,44116323.12,1603932.85,30728989.80,139701235.21
d 6,24D,20728.61,21178636.19,131509.56,16741321.25,251436.82,20112143.98,1822095.17,44766325.56,8484405.075,551969.96,2031156.98,1093294.09,176509.65,14286858.65,158.21,11318.79,65608233.51,5636881.82,1390494.55,4090635.40,10950670.55,587070.1361,96777.09,13469403.69,900557.47,10810501.80,97259859.97
d 7,24D,90297.02,63893963.01,2136249.83,59710289.45,235069.72,41461520.86,6227130.62,96504122.65,26814807.84,1029853.49,3917762.68,2821364.00,336243.29,33051398.34,49723.80,47427.94,126723986.43,15228508.77,3770999.76,19331580.12,20104184.51,1015399.192,402825.64,39685132.02,257534.56,31758908.97,55058676.16
d 8,24D,88573.79,22574000.05,1217301.35,24133152.33,155890.60,16531171.10,2077461.25,50721005.78,10672268.49,485476.49,3081616.59,1601961.81,218862.66,13265115.15,142.94,18800.54,66578630.87,6258418.30,1830184.12,6431677.84,9865135.777,651874.4349,157529.14,18051962.34,179827.32,14463151.81,62089694.28
d 9,24D,92725.62,32476267.89,496356.79,53648607.12,158426.42,28538973.87,4026586.00,61795612.87,19961747.41,530359.35,2187578.84,1329427.83,171943.84,24348900.25,1844.73,26163.84,72087836.91,5567191.17,2068335.55,11788665.07,12166267.13,685910.7403,101586.71,29477871.31,180799.41,26091646.98,58253781.04
