Metabolite,HMDB ID,liver_cpf,liver_24d,swab_cpf,swab_24d
Hydro1ylamine,HMDB0003338,0,0,0,0
Alpha-D-Glucose,HMDB0003345,0,1,0,0
Carbonic acid,HMDB0003538,0,0,1,0
Carbamic acid,HMDB0003551,1,1,1,1
Cholesteryl decanoate,HMDB0003603,0,0,0,1
Diethanolamine,HMDB0004437,1,0,0,0
20alpha-Hydro1ycholesterol,HMDB0006283,0,0,0,1
D-Mannose 1-phosphate,HMDB0006330,0,0,0,0
"D-Glucurono-6,3-lactone",HMDB0006355,0,0,0,0
Alanylglycine,HMDB0006899,0,0,0,0
Beta-D-Glucopyranuronic acid,HMDB0010314,1,1,0,0
3-O1ohe1anoic acid,HMDB0010717,0,0,1,0
Dodecanol,HMDB0011626,0,0,0,0
Iminodiacetic acid,HMDB0011753,0,1,0,0
Ethylamine,HMDB0013231,0,0,1,0
Norvaline,HMDB0013716,1,1,0,0
Diisobutyl phthalate,HMDB0013835,0,0,0,0
Acetohydro1amic Acid,HMDB0014691,0,0,1,0
Hydro1yurea,HMDB0015140,0,1,0,0
Mimosine,HMDB0015188,1,1,0,0
Mannobiose,HMDB0029933,1,1,0,0
Methyl beta-D-glucopyranoside,HMDB0029965,1,1,0,0
Ethyl beta-D-glucopyranoside,HMDB0029968,0,0,0,1
Ethyl-1-he1anol,HMDB0031231,0,0,1,0
"1,3-Butanediol",HMDB0031320,0,0,1,0
Acetamide,HMDB0031645,0,0,0,0
Dibutyl phthalate,HMDB0033244,0,0,0,0
L-Galactose,HMDB0033704,0,1,0,0
1-Propylamine,HMDB0034006,1,0,0,0
"3-(3,4-Dimetho1yphenyl)-2-propenoic acid",HMDB0034315,0,0,0,0
4-Methylnonanoic acid,HMDB0034849,0,0,0,1
Boric acid,HMDB0035731,0,0,0,0
1-Aminocyclopropanecarbo1ylic acid,HMDB0036458,1,0,0,0
Maltose,HMDB0037138,1,1,0,0
D-Glyceryl beta-galactopyranoside,HMDB0038664,0,0,0,0
Glucopyranosyl-glucopyranose,HMDB0039707,0,0,0,0
Lactose,HMDB0041627,1,1,0,0
Chlorpyrifos,HMDB0041856,0,0,1,0
Diethylamine,HMDB0041878,0,0,0,1
2-Metho1yacetic acid,HMDB0041929,0,0,0,1
2-Hydro1yglutarate,HMDB0059655,0,0,1,0
Heptaethylene glycol,HMDB0061835,1,0,0,0
2-Amino-3-hydro1ypropanoic acid,HMDB0062263,1,1,1,1
3-Pyridinol ,HMDB0240652,0,0,0,1
L-Threonic acid,HMDB0245425,1,0,0,0
D-Fructofuranose,HMDB0250747,1,0,0,0
2-Thioglycolic acid,HMDB0254464,0,0,1,0
beta-Gentiobiose,HMDB0341292,0,1,0,0
